,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
0,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1,2.0,,Serviced Residence (Intermediate),Land area : 775 sq. ft.,Fully Furnished
1,"Kepong, Kuala Lumpur",,3.0,,2-sty Terrace/Link House,Land area : 20x70 sq. ft.,Partly Furnished
2,"Kepong, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,109 sq. ft.",Partly Furnished
3,"Sunway SPK, Kuala Lumpur",5+1,5.0,,2.5-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
4,"Brickfields, Kuala Lumpur",2+2,2.0,,Serviced Residence (Intermediate),Built-up : 898 sq. ft.,Fully Furnished
5,"Pantai, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,207 sq. ft.",
6,"Setapak, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),Land area : 1169 sq. ft.,Fully Furnished
7,"Jalan Sultan Ismail, Kuala Lumpur",2,2.0,1.0,Serviced Residence,"Built-up : 1,120 sq. ft.",Partly Furnished
8,"Bangsar, Kuala Lumpur",2,2.0,1.0,Serviced Residence (Corner),Built-up : 980 sq. ft.,Fully Furnished
9,"Sri Petaling, Kuala Lumpur",2+1,2.0,1.0,2-sty Terrace/Link House,Land area : 14x60 sq. ft.,Unfurnished
10,"Setapak, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,550 sq. ft.",Partly Furnished
11,"Bangsar, Kuala Lumpur",3+1,4.0,,Condominium (Corner),"Built-up : 2,572 sq. ft.",Partly Furnished
12,"Jalan Kuching, Kuala Lumpur",4+1,4.0,2.0,Condominium (Corner),"Built-up : 2,190 sq. ft.",Fully Furnished
13,"Bandar Tasik Selatan, Kuala Lumpur",3,2.0,1.0,Apartment,Built-up : 857 sq. ft.,Unfurnished
14,"Seputeh, Kuala Lumpur",7+1,9.0,4.0,Bungalow (Intermediate),Land area : 6800 sq. ft.,Partly Furnished
15,"Batu Caves, Kuala Lumpur",3,2.0,,Condominium,"Built-up : 1,130 sq. ft.",Partly Furnished
16,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
17,"Cheras, Kuala Lumpur",2,1.0,1.0,Serviced Residence (EndLot),Built-up : 695 sq. ft.,Fully Furnished
18,"Desa ParkCity, Kuala Lumpur",7+1,7.0,4.0,Bungalow (Corner),Land area : 6200 sq. ft.,Partly Furnished
19,"KL Eco City, Kuala Lumpur",1,1.0,1.0,Condominium,Built-up : 710 sq. ft.,Fully Furnished
20,"Taman Melawati, Kuala Lumpur",5+1,7.0,5.0,Bungalow,Land area : 4229 sq. ft.,Partly Furnished
21,"KLCC, Kuala Lumpur",4+1,5.0,2.0,Serviced Residence,"Built-up : 2,343 sq. ft.",Partly Furnished
22,"KLCC, Kuala Lumpur",Studio,1.0,1.0,Serviced Residence (Corner),Built-up : 721 sq. ft.,Partly Furnished
23,"Damansara Heights, Kuala Lumpur",5+1,6.0,4.0,Bungalow,Land area : 7000sf sq. ft.,
24,"Bukit Jalil, Kuala Lumpur",3,3.0,2.0,Condominium (Intermediate),"Built-up : 1,003 sq. ft.",Unfurnished
25,"SANTUARI PARK PANTAI, Kuala Lumpur",5,5.0,2.0,Bungalow,Land area : 6000 sq. ft.,
26,"City Centre, Kuala Lumpur",3+1,3.0,,Condominium (Intermediate),"Built-up : 1,600 sq. ft.",Partly Furnished
27,"Ampang, Kuala Lumpur",3,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,505 sq. ft.",Partly Furnished
28,"KLCC, Kuala Lumpur",3+1,3.0,2.0,Condominium (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished
29,"KLCC, Kuala Lumpur",2+1,2.0,,Serviced Residence,Built-up : 860 sq. ft.,Fully Furnished
30,"Kepong, Kuala Lumpur",3,2.0,2.0,Condominium,Land area : 960 sq. ft.,Partly Furnished
31,"Cheras, Kuala Lumpur",4+1,4.0,2.0,Condominium,"Built-up : 1,608 sq. ft.",Partly Furnished
32,"Sungai Besi, Kuala Lumpur",4+1,5.0,,3-sty Terrace/Link House (Intermediate),"Built-up : 3,216 sq. ft.",Partly Furnished
33,"Cheras, Kuala Lumpur",3,2.0,,2-sty Terrace/Link House (Intermediate),"Built-up : 1,067 sq. ft.",
34,"Taman Tun Dr Ismail, Kuala Lumpur",5+1,7.0,,Bungalow,Land area : 7782 sq. ft.,
35,"Bangsar, Kuala Lumpur",5+1,6.0,,Bungalow,Land area : 6000 sq. ft.,Unknown
36,"Bangsar, Kuala Lumpur",1+1,1.0,,Serviced Residence (Corner),Built-up : 790 sq. ft.,Fully Furnished
37,"Mont Kiara, Kuala Lumpur",6+1,6.0,6.0,Bungalow,Land area : 9619 sq. ft.,Partly Furnished
38,"KLCC, Kuala Lumpur",,,,Serviced Residence (Intermediate),"Built-up : 1,426 sq. ft.",Fully Furnished
39,"Taman Tun Dr Ismail, Kuala Lumpur",2+1,3.0,2.0,Serviced Residence,"Built-up : 1,680 sq. ft.",Partly Furnished
40,"Bukit Jalil, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,170 sq. ft.",Fully Furnished
41,"Mont Kiara, Kuala Lumpur",3+1,,,Condominium,"Built-up : 2,535 sq. ft.",Partly Furnished
42,"Bukit Bintang, Kuala Lumpur",4,4.0,2.0,Condominium,"Built-up : 2,153 sq. ft.",Partly Furnished
43,"Sungai Besi, Kuala Lumpur",4+1,5.0,,3-sty Terrace/Link House (Intermediate),"Built-up : 3,216 sq. ft.",Partly Furnished
44,"Mont Kiara, Kuala Lumpur",1,1.0,1.0,Serviced Residence,Built-up : 672 sq. ft.,Fully Furnished
45,"KLCC, Kuala Lumpur",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 569 sq. ft.,Fully Furnished
46,"KL Sentral, Kuala Lumpur",2,3.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,485 sq. ft.",Fully Furnished
47,"Sri Petaling, Kuala Lumpur",3+1,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 25 x100 sq. ft.,Partly Furnished
48,"Jalan Ipoh, Kuala Lumpur",4,3.0,,2-sty Terrace/Link House (Corner),Land area : 30x80 sq. ft.,Fully Furnished
49,"Batu Caves, Kuala Lumpur",3,2.0,2.0,Serviced Residence,Land area : 1100 sq. ft.,Partly Furnished
50,"Sungai Besi, Kuala Lumpur",2,1.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 14X55 sq. ft.,Partly Furnished
51,"Kepong, Kuala Lumpur",4,2.0,,1-sty Terrace/Link House (Intermediate),Land area : 22x65 sq. ft.,Partly Furnished
52,"KLCC, Kuala Lumpur",2+1,2.0,1.0,Serviced Residence,"Built-up : 1,100 sq. ft.",Fully Furnished
53,"Cheras, Kuala Lumpur",5,4.0,,Bungalow,Land area : 5232 sq. ft.,Partly Furnished
54,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,1.0,Serviced Residence,Built-up : 960 sq. ft.,
55,"Desa ParkCity, Kuala Lumpur",4+1,6.0,,2.5-sty Terrace/Link House (Intermediate),Land area : 31x70 sq. ft.,Partly Furnished
56,"Ampang Hilir, Kuala Lumpur",3+1,4.0,1.0,Condominium (Corner),"Built-up : 2,700 sq. ft.",Partly Furnished
57,"City Centre, Kuala Lumpur",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,319 sq. ft.",Fully Furnished
58,"KLCC, Kuala Lumpur",1,2.0,1.0,Serviced Residence (Intermediate),Built-up : 923 sq. ft.,Partly Furnished
59,"Dutamas, Kuala Lumpur",1,2.0,1.0,Condominium,"Built-up : 1,115 sq. ft.",
60,"Setapak, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,009 sq. ft.",
61,"Bangsar, Kuala Lumpur",2,2.0,2.0,Condominium,"Built-up : 1,117 sq. ft.",Fully Furnished
62,"Titiwangsa, Kuala Lumpur",5+1,6.0,6.0,Bungalow,Land area : 6500 sq. ft.,Partly Furnished
63,"Ampang Hilir, Kuala Lumpur",3,2.0,1.0,Condominium (Penthouse),Land area : 887 sq. ft.,Partly Furnished
64,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,016 sq. ft.",Fully Furnished
65,"KL Sentral, Kuala Lumpur",3+1,3.0,,Condominium (Intermediate),"Built-up : 1,528 sq. ft.",
66,"KLCC, Kuala Lumpur",5+2,6.0,4.0,Condominium (Triplex),"Built-up : 5,423 sq. ft.",Partly Furnished
67,"Bukit Jalil, Kuala Lumpur",3+1,4.0,4.0,Condominium,"Built-up : 2,556 sq. ft.",Fully Furnished
68,"KL City, Kuala Lumpur",3+1,2.0,1.0,Condominium (Intermediate),"Built-up : 1,065 sq. ft.",Unfurnished
69,"Setapak, Kuala Lumpur",4,2.0,2.0,Condominium (Intermediate),"Built-up : 1,185 sq. ft.",Partly Furnished
70,"Sungai Besi, Kuala Lumpur",4+1,5.0,4.0,Semi-detached House (Intermediate),Land area : 3282 sq. ft.,Partly Furnished
71,"Sri Hartamas, Kuala Lumpur",5,4.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
72,"Wangsa Maju, Kuala Lumpur",4+1,4.0,4.0,Semi-detached House (Intermediate),"Built-up : 2,080 sq. ft.",Partly Furnished
73,"Bukit Jalil, Kuala Lumpur",4+1,6.0,,Bungalow (Intermediate),Land area : 9074 sq. ft.,Partly Furnished
74,"Mont Kiara, Kuala Lumpur",4+1,3.0,2.0,Condominium,"Built-up : 1,830 sq. ft.",
75,"Sri Hartamas, Kuala Lumpur",3,2.0,,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
76,"Setapak, Kuala Lumpur",,,,Serviced Residence,,
77,"Kepong, Kuala Lumpur",3,2.0,1.0,2.5-sty Terrace/Link House,Land area : 14x45 sq. ft.,Partly Furnished
78,"Cheras, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,018 sq. ft.",Unfurnished
79,"Cheras, Kuala Lumpur",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
80,"Mont Kiara, Kuala Lumpur",2,2.0,1.0,Serviced Residence,"Built-up : 1,029 sq. ft.",Partly Furnished
81,"KL City, Kuala Lumpur",2,2.0,1.0,Serviced Residence,Built-up : 915 sq. ft.,Partly Furnished
82,"Taman Desa, Kuala Lumpur",4,3.0,,2-sty Terrace/Link House,Land area : 24x85 sq. ft.,Unfurnished
83,"Damansara Heights, Kuala Lumpur",6+,9.0,,Bungalow,Land area : 14380 sq. ft.,Partly Furnished
84,"Ampang, Kuala Lumpur",2+1,2.0,1.0,Condominium,"Built-up : 1,500 sq. ft.",Fully Furnished
85,"Jalan Ipoh, Kuala Lumpur",3,2.0,2.0,Condominium (Intermediate),Built-up : 977 sq. ft.,Partly Furnished
86,"Taman Melawati, Kuala Lumpur",6,7.0,,Semi-detached House (Intermediate),Land area : 3600 sq. ft.,
87,"Bukit Jalil, Kuala Lumpur",4+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
88,"Cheras, Kuala Lumpur",6+1,7.0,6.0,Bungalow,Land area : 6650 sq. ft.,
89,"Taman Desa, Kuala Lumpur",,,,Residential Land,Land area : 81800 sq. ft.,
90,"KLCC, Kuala Lumpur",2,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,055 sq. ft.",Fully Furnished
91,"Mont Kiara, Kuala Lumpur",3+1,2.0,1.0,Condominium,"Built-up : 1,550 sq. ft.",Partly Furnished
92,"Dutamas, Kuala Lumpur",3+1,3.0,2.0,Condominium (Intermediate),Land area : 1356 sq. ft.,Fully Furnished
93,"Jalan Kuching, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,500 sq. ft.",Fully Furnished
94,"Bukit Jalil, Kuala Lumpur",3+1,3.0,2.0,Condominium,"Built-up : 1,335 sq. ft.",Partly Furnished
95,"Setiawangsa, Kuala Lumpur",4,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 20 x70 sq. ft.,Partly Furnished
96,"KL City, Kuala Lumpur",1+1,1.0,,Serviced Residence (Intermediate),Built-up : 625 sq. ft.,Partly Furnished
97,"Dutamas, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Partly Furnished
98,"Mont Kiara, Kuala Lumpur",3+1,3.0,2.0,Condominium (Corner),"Built-up : 2,038 sq. ft.",Partly Furnished
99,"Mont Kiara, Kuala Lumpur",3,3.0,2.0,Condominium,"Built-up : 1,756 sq. ft.",Fully Furnished
100,"KLCC, Kuala Lumpur",1,1.0,2.0,Serviced Residence (EndLot),Built-up : 925 sq. ft.,Partly Furnished
101,"Taman Desa, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,200 sq. ft.",Unfurnished
102,"Jalan Kuching, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,320 sq. ft.",Partly Furnished
103,"KLCC, Kuala Lumpur",3,2.0,2.0,Condominium (Corner),"Built-up : 1,182 sq. ft.",Fully Furnished
104,"Ampang Hilir, Kuala Lumpur",3+1,3.0,3.0,Condominium (Corner),"Built-up : 1,884 sq. ft.",Partly Furnished
105,"Batu Caves, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,100 sq. ft.",Fully Furnished
106,"KLCC, Kuala Lumpur",3+1,4.0,3.0,Serviced Residence (Corner),"Built-up : 3,101 sq. ft.",Partly Furnished
107,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,350 sq. ft.",Partly Furnished
108,"Taman Tun Dr Ismail, Kuala Lumpur",3+1,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 1900 sq. ft.,Partly Furnished
109,"Taman Melawati, Kuala Lumpur",4,5.0,3.0,Bungalow (Intermediate),Land area : 50x90 sq. ft.,Unfurnished
110,"Kepong, Kuala Lumpur",4,4.0,,2-sty Terrace/Link House,Land area : 20x75 sq. ft.,Partly Furnished
111,"KL City, Kuala Lumpur",3,2.0,2.0,Condominium (Intermediate),Built-up : 926 sq. ft.,Unfurnished
112,"Damansara Heights, Kuala Lumpur",6+1,7.0,3.0,Semi-detached House (Intermediate),Land area : 3400 sq. ft.,Partly Furnished
113,"Bukit Ledang, Kuala Lumpur",,,,Bungalow,Land area : 4884 sq. ft.,Partly Furnished
114,"Sri Petaling, Kuala Lumpur",5,4.0,,2.5-sty Terrace/Link House (Intermediate),Land area : 22 x 80 sq. ft.,Unfurnished
115,"Setapak, Kuala Lumpur",2,2.0,1.0,Serviced Residence,Land area : 900 sq. ft.,Partly Furnished
116,"Bangsar South, Kuala Lumpur",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 550 sq. ft.,Partly Furnished
117,"Taman Desa, Kuala Lumpur",2,2.0,,Serviced Residence,Built-up : 945 sq. ft.,Partly Furnished
118,"City Centre, Kuala Lumpur",1,2.0,,Serviced Residence,"Built-up : 1,131 sq. ft.",Partly Furnished
119,"Taman Tun Dr Ismail, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,478 sq. ft.",
120,"Mont Kiara, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,280 sq. ft.",Fully Furnished
121,"Jinjang, Kuala Lumpur",1+2,2.0,,Apartment (EndLot),Built-up : 657 sq. ft.,Unfurnished
122,"KLCC, Kuala Lumpur",4+1,5.0,2.0,Condominium,"Built-up : 2,315 sq. ft.",Fully Furnished
123,"Sunway SPK, Kuala Lumpur",5+1,5.0,,Semi-detached House (Intermediate),Land area : 45x95 sq. ft.,Fully Furnished
124,"Taman Desa, Kuala Lumpur",5,3.0,,Condominium,"Built-up : 2,500 sq. ft.",
125,"KLCC, Kuala Lumpur",3,3.0,2.0,Condominium,"Built-up : 2,028 sq. ft.",Fully Furnished
126,"Bukit Jalil, Kuala Lumpur",3,2.0,1.0,Apartment (Intermediate),Land area : 950 sq. ft.,Unfurnished
127,"Setapak, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,207 sq. ft.",Fully Furnished
128,"Bukit Bintang, Kuala Lumpur",Studio,1.0,,Serviced Residence (EndLot),Built-up : 550 sq. ft.,Fully Furnished
129,"Bukit Jalil, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,236 sq. ft.",Fully Furnished
130,"Bukit Tunku (Kenny Hills), Kuala Lumpur",3+2,5.0,3.0,Condominium,"Built-up : 1,905 sq. ft.",
131,"Sungai Besi, Kuala Lumpur",3,2.0,1.0,Serviced Residence,Built-up : 800 sq. ft.,Fully Furnished
132,"Pantai, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Intermediate),Built-up : 805 sq. ft.,Partly Furnished
133,"Sri Hartamas, Kuala Lumpur",5+2,8.0,,Condominium,"Built-up : 9,085 sq. ft.",Unfurnished
134,"Mont Kiara, Kuala Lumpur",6+1,7.0,4.0,Bungalow,Land area : 10200 sq. ft.,Partly Furnished
135,"Kepong, Kuala Lumpur",3,1.0,3.0,1-sty Terrace/Link House (Intermediate),Land area : 21x70 sq. ft.,Unfurnished
136,"Bukit Jalil, Kuala Lumpur",5+2,7.0,,Semi-detached House (Corner),Land area : 5393 sq. ft.,Partly Furnished
137,"OUG, Kuala Lumpur",5,3.0,2.0,2-sty Terrace/Link House (EndLot),Land area : 32 x 65 sq. ft.,Partly Furnished
138,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3+2,4.0,3.0,Condominium (Intermediate),"Built-up : 2,128 sq. ft.",Fully Furnished
139,"KLCC, Kuala Lumpur",3,2.0,,Serviced Residence (Corner),"Built-up : 1,463 sq. ft.",Partly Furnished
140,"Batu Caves, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,119 sq. ft.",Partly Furnished
141,"KLCC, Kuala Lumpur",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",
142,"Cheras, Kuala Lumpur",4,2.0,1.0,Condominium (Intermediate),"Built-up : 1,364 sq. ft.",
